--- [LOG] Fill Buffer for Core 0 @ Cycle:3148   ---
Buffer Size: 256 | Count: 256 | Head: 2 | Tail: 2
---------------------------------------------------------
[  0] PC: 0x004e04ac | OpNum: 3          | H2P: X | Disasm: LOGIC    r12(R11),r24(ZPS) <- r12(R11)       
[  1] PC: 0x004e04af | OpNum: 4          | H2P: X | Disasm: IST      r8(RSP) 1@7fffffffda58              
[  2] PC: 0x004e04b4 | OpNum: 5          | H2P: X | Disasm: MOV      r2(RBX) <- r12(R11)                 
[  3] PC: 0x004e04b7 | OpNum: 6          | H2P: X | Disasm: MOV      r5(RBP) <- r11(R10)                 
[  4] PC: 0x004e04ba | OpNum: 7          | H2P: X | Disasm: ILD      r15(R14) 8@009ed528                 
[  5] PC: 0x004e04c1 | OpNum: 8          | H2P: X | Disasm: IST      r8(RSP),r1(RAX) 8@7fffffffd9e8      
[  6] PC: 0x004e04c6 | OpNum: 9          | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffda80              
[  7] PC: 0x004e04d2 | OpNum: 10         | H2P: X | Disasm: IST      r8(RSP) 1@7fffffffda8f              
[  8] PC: 0x004e04da | OpNum: 11         | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffda50              
[  9] PC: 0x004e04e3 | OpNum: 12         | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffdaa8              
[ 10] PC: 0x004e04ef | OpNum: 13         | H2P: X | Disasm: IST      r8(RSP) 4@7fffffffda48              
[ 11] PC: 0x004e04f7 | OpNum: 14         | H2P: X | Disasm: IST      r8(RSP) 1@7fffffffda8d              
[ 12] PC: 0x004e04ff | OpNum: 15         | H2P: X | Disasm: IST      r8(RSP) 1@7fffffffda8e              
[ 13] PC: 0x004e0507 | OpNum: 16         | H2P: X | Disasm: IST      r8(RSP) 4@7fffffffdab4              
[ 14] PC: 0x004e0512 | OpNum: 17         | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffda60              
[ 15] PC: 0x004e051e | OpNum: 18         | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffda68              
[ 16] PC: 0x004e052a | OpNum: 19         | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffda98              
[ 17] PC: 0x004e0536 | OpNum: 20         | H2P: X | Disasm: IST      r8(RSP) 1@7fffffffda78              
[ 18] PC: 0x004e053e | OpNum: 21         | H2P: X | Disasm: IST      r8(RSP) 1@7fffffffda32              
[ 19] PC: 0x004e0543 | OpNum: 22         | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffda28              
[ 20] PC: 0x004e054c | OpNum: 23         | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffda20              
[ 21] PC: 0x004e0555 | OpNum: 24         | H2P: X | Disasm: IST      r8(RSP) 8@7fffffffda70              
[ 22] PC: 0x004e0561 | OpNum: 25         | H2P: X | Disasm: IST      r8(RSP) 4@7fffffffda88              
[ 23] PC: 0x004e056c | OpNum: 26         | H2P: X | Disasm: IST      r8(RSP),r16(R15) 8@7fffffffda90     
[ 24] PC: 0x004e0574 | OpNum: 27         | H2P: X | Disasm: IST      r8(RSP),r14(R13) 8@7fffffffd9f0     
[ 25] PC: 0x004e0579 | OpNum: 28         | H2P: X | Disasm: LOGIC    r24(ZPS) <- r13(R12)                
[ 26] PC: 0x004e057c | OpNum: 29         | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[ 27] PC: 0x004e0582 | OpNum: 30         | H2P: X | Disasm: ILD      r1(RAX) <- r13(R12) 2@028b2ef2      
[ 28] PC: 0x004e0588 | OpNum: 31         | H2P: X | Disasm: LDA      r6(RSI) <- r13(R12),r1(RAX)         
[ 29] PC: 0x004e058c | OpNum: 32         | H2P: X | Disasm: MOV      r1(RAX)                             
[ 30] PC: 0x004e0591 | OpNum: 33         | H2P: X | Disasm: ICMP     r24(ZPS) <- r13(R12),r6(RSI)        
[ 31] PC: 0x004e0594 | OpNum: 34         | H2P: X | Disasm: CMOV     r1(RAX) <- r6(RSI),r24(ZPS)         
[ 32] PC: 0x004e0598 | OpNum: 35         | H2P: X | Disasm: IST      r8(RSP),r1(RAX) 8@7fffffffd9f8      
[ 33] PC: 0x004e059d | OpNum: 36         | H2P: X | Disasm: ILD      r1(RAX) <- r13(R12) 1@028b2ef1      
[ 34] PC: 0x004e05a3 | OpNum: 37         | H2P: X | Disasm: LDA      r14(R13)                            
[ 35] PC: 0x004e05aa | OpNum: 38         | H2P: X | Disasm: LDA      r12(R11)                            
[ 36] PC: 0x004e05b1 | OpNum: 39         | H2P: X | Disasm: ILD      r7(RDI) <- r8(RSP) 8@7fffffffd9f0   
[ 37] PC: 0x004e05b6 | OpNum: 40         | H2P: X | Disasm: ILD      r16(R15) <- r7(RDI) 8@7fffffffdcf0  
[ 38] PC: 0x004e05ba | OpNum: 41         | H2P: X | Disasm: ILD      r7(RDI) <- r8(RSP) 8@7fffffffd9e8   
[ 39] PC: 0x004e05bf | OpNum: 42         | H2P: X | Disasm: ICMP     r24(ZPS) <- r16(R15),r7(RDI)        
[ 40] PC: 0x004e05c2 | OpNum: 43         | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[ 41] PC: 0x004e05c8 | OpNum: 44         | H2P: X | Disasm: ILD      r11(R10) <- r7(RDI) 1@049163ec      
[ 42] PC: 0x004e05cc | OpNum: 45         | H2P: X | Disasm: MOV      r4(RDX)                             
[ 43] PC: 0x004e05d1 | OpNum: 46         | H2P: X | Disasm: LOGIC    r3(RCX),r24(ZPS) <- r3(RCX)         
[ 44] PC: 0x004e05d3 | OpNum: 47         | H2P: X | Disasm: ICMP     r24(ZPS) <- r1(RAX)                 
[ 45] PC: 0x004e05d8 | OpNum: 48         | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[ 46] PC: 0x004e05de | OpNum: 49         | H2P: X | Disasm: MOV      r6(RSI) <- r1(RAX)                  
[ 47] PC: 0x004e05e0 | OpNum: 50         | H2P: X | Disasm: ILD      r6(RSI) <- r14(R13),r6(RSI) 4@00706ce0
[ 48] PC: 0x004e05e5 | OpNum: 51         | H2P: X | Disasm: IADD     r6(RSI),r24(ZPS) <- r6(RSI),r14(R13)
[ 49] PC: 0x004e05e8 | OpNum: 52         | H2P: X | Disasm: CF_IBR   r6(RSI)                             
[ 50] PC: 0x004e3459 | OpNum: 53         | H2P: X | Disasm: LOGIC    r14(R13),r24(ZPS) <- r14(R13)       
[ 51] PC: 0x004e345c | OpNum: 54         | H2P: X | Disasm: CF_BR                                        
[ 52] PC: 0x004e31a2 | OpNum: 55         | H2P: X | Disasm: ILD      r78(TMP0) <- r8(RSP) 1@7fffffffda33 
[ 53] PC: 0x004e31a2 | OpNum: 56         | H2P: X | Disasm: ICMP     r24(ZPS) <- r78(TMP0)               
[ 54] PC: 0x004e31a7 | OpNum: 57         | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[ 55] PC: 0x004e3377 | OpNum: 58         | H2P: X | Disasm: ILD      r1(RAX) <- r8(RSP) 8@7fffffffd9f0   
[ 56] PC: 0x004e337c | OpNum: 59         | H2P: X | Disasm: ILD      r7(RDI) <- r8(RSP) 8@7fffffffd9e8   
[ 57] PC: 0x004e3381 | OpNum: 60         | H2P: X | Disasm: ILD      r78(TMP0) <- r1(RAX) 8@7fffffffdce8 
[ 58] PC: 0x004e3381 | OpNum: 61         | H2P: X | Disasm: ICMP     r24(ZPS) <- r78(TMP0),r7(RDI)       
[ 59] PC: 0x004e3385 | OpNum: 62         | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[ 60] PC: 0x004e338b | OpNum: 63         | H2P: X | Disasm: ILD      r4(RDX) <- r7(RDI) 1@049163eb       
[ 61] PC: 0x004e338f | OpNum: 64         | H2P: X | Disasm: LDA      r1(RAX)                             
[ 62] PC: 0x004e3396 | OpNum: 65         | H2P: X | Disasm: ILD      r1(RAX) <- r1(RAX),r4(RDX) 4@006d1480
[ 63] PC: 0x004e3399 | OpNum: 66         | H2P: X | Disasm: LOGIC    r4(RDX),r24(ZPS) <- r4(RDX)         
[ 64] PC: 0x004e339b | OpNum: 67         | H2P: X | Disasm: LOGIC    r1(RAX),r24(ZPS) <- r1(RAX)         
[ 65] PC: 0x004e33a0 | OpNum: 68         | H2P: X | Disasm: ICMP     r24(ZPS) <- r1(RAX)                 
[ 66] PC: 0x004e33a5 | OpNum: 69         | H2P: X | Disasm: MOV      r4(RDX) <- r24(ZPS)                 
[ 67] PC: 0x004e33a8 | OpNum: 70         | H2P: X | Disasm: LOGIC    r24(ZPS) <- r11(R10)                
[ 68] PC: 0x004e33ab | OpNum: 71         | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[ 69] PC: 0x004e33b1 | OpNum: 72         | H2P: X | Disasm: LDA      r1(RAX)                             
[ 70] PC: 0x004e33b8 | OpNum: 73         | H2P: X | Disasm: ILD      r1(RAX) <- r1(RAX),r11(R10) 4@006d15a0
[ 71] PC: 0x004e33bc | OpNum: 74         | H2P: X | Disasm: LOGIC    r1(RAX),r24(ZPS) <- r1(RAX)         
[ 72] PC: 0x004e33c1 | OpNum: 75         | H2P: X | Disasm: ICMP     r24(ZPS) <- r1(RAX)                 
[ 73] PC: 0x004e33c6 | OpNum: 76         | H2P: X | Disasm: MOV      r1(RAX) <- r24(ZPS)                 
[ 74] PC: 0x004e33c9 | OpNum: 77         | H2P: X | Disasm: MOV      r1(RAX) <- r1(RAX)                  
[ 75] PC: 0x004e33cc | OpNum: 78         | H2P: X | Disasm: ICMP     r24(ZPS) <- r1(RAX),r4(RDX)         
[ 76] PC: 0x004e33cf | OpNum: 79         | H2P: X | Disasm: MOV      r1(RAX) <- r24(ZPS)                 
[ 77] PC: 0x004e33d2 | OpNum: 80         | H2P: X | Disasm: MOV      r1(RAX) <- r1(RAX)                  
[ 78] PC: 0x004e33d5 | OpNum: 81         | H2P: X | Disasm: ICMP     r24(ZPS) <- r1(RAX),r14(R13)        
[ 79] PC: 0x004e33d8 | OpNum: 82         | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[ 80] PC: 0x004e33de | OpNum: 83         | H2P: X | Disasm: CF_BR                                        
[ 81] PC: 0x004e07a0 | OpNum: 84         | H2P: X | Disasm: ILD      r13(R12) <- r8(RSP) 8@7fffffffd9f8  
[ 82] PC: 0x004e07a5 | OpNum: 85         | H2P: X | Disasm: LOGIC    r24(ZPS) <- r13(R12)                
[ 83] PC: 0x004e07a8 | OpNum: 86         | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[ 84] PC: 0x004e0582 | OpNum: 87         | H2P: X | Disasm: ILD      r1(RAX) <- r13(R12) 2@028b2ef6      
[ 85] PC: 0x004e0588 | OpNum: 88         | H2P: X | Disasm: LDA      r6(RSI) <- r13(R12),r1(RAX)         
[ 86] PC: 0x004e058c | OpNum: 89         | H2P: X | Disasm: MOV      r1(RAX)                             
[ 87] PC: 0x004e0591 | OpNum: 90         | H2P: X | Disasm: ICMP     r24(ZPS) <- r13(R12),r6(RSI)        
[ 88] PC: 0x004e0594 | OpNum: 91         | H2P: X | Disasm: CMOV     r1(RAX) <- r6(RSI),r24(ZPS)         
[ 89] PC: 0x004e0598 | OpNum: 92         | H2P: X | Disasm: IST      r8(RSP),r1(RAX) 8@7fffffffd9f8      
[ 90] PC: 0x004e059d | OpNum: 93         | H2P: X | Disasm: ILD      r1(RAX) <- r13(R12) 1@028b2ef5      
[ 91] PC: 0x004e05a3 | OpNum: 94         | H2P: X | Disasm: LDA      r14(R13)                            
[ 92] PC: 0x004e05aa | OpNum: 95         | H2P: X | Disasm: LDA      r12(R11)                            
[ 93] PC: 0x004e05b1 | OpNum: 96         | H2P: X | Disasm: ILD      r7(RDI) <- r8(RSP) 8@7fffffffd9f0   
[ 94] PC: 0x004e05b6 | OpNum: 97         | H2P: X | Disasm: ILD      r16(R15) <- r7(RDI) 8@7fffffffdcf0  
[ 95] PC: 0x004e05ba | OpNum: 98         | H2P: X | Disasm: ILD      r7(RDI) <- r8(RSP) 8@7fffffffd9e8   
[ 96] PC: 0x004e05bf | OpNum: 99         | H2P: X | Disasm: ICMP     r24(ZPS) <- r16(R15),r7(RDI)        
[ 97] PC: 0x004e05c2 | OpNum: 100        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[ 98] PC: 0x004e05c8 | OpNum: 101        | H2P: X | Disasm: ILD      r11(R10) <- r7(RDI) 1@049163ec      
[ 99] PC: 0x004e05cc | OpNum: 102        | H2P: X | Disasm: MOV      r4(RDX)                             
[100] PC: 0x004e05d1 | OpNum: 103        | H2P: X | Disasm: LOGIC    r3(RCX),r24(ZPS) <- r3(RCX)         
[101] PC: 0x004e05d3 | OpNum: 104        | H2P: X | Disasm: ICMP     r24(ZPS) <- r1(RAX)                 
[102] PC: 0x004e05d8 | OpNum: 105        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[103] PC: 0x004e05de | OpNum: 106        | H2P: X | Disasm: MOV      r6(RSI) <- r1(RAX)                  
[104] PC: 0x004e05e0 | OpNum: 107        | H2P: X | Disasm: ILD      r6(RSI) <- r14(R13),r6(RSI) 4@00706d4c
[105] PC: 0x004e05e5 | OpNum: 108        | H2P: X | Disasm: IADD     r6(RSI),r24(ZPS) <- r6(RSI),r14(R13)
[106] PC: 0x004e05e8 | OpNum: 109        | H2P: X | Disasm: CF_IBR   r6(RSI)                             
[107] PC: 0x004e0e58 | OpNum: 110        | H2P: X | Disasm: ILD      r78(TMP0) <- r8(RSP) 1@7fffffffda34 
[108] PC: 0x004e0e58 | OpNum: 111        | H2P: X | Disasm: ICMP     r24(ZPS) <- r78(TMP0)               
[109] PC: 0x004e0e5d | OpNum: 112        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[110] PC: 0x004e0e63 | OpNum: 113        | H2P: X | Disasm: ICMP     r24(ZPS) <- r1(RAX)                 
[111] PC: 0x004e0e66 | OpNum: 114        | H2P: X | Disasm: MOV      r3(RCX)                             
[112] PC: 0x004e0e6d | OpNum: 115        | H2P: X | Disasm: LDA      r12(R11)                            
[113] PC: 0x004e0e74 | OpNum: 116        | H2P: X | Disasm: MOV      r10(R9) <- r24(ZPS)                 
[114] PC: 0x004e0e78 | OpNum: 117        | H2P: X | Disasm: LOGIC    r9(R8),r24(ZPS) <- r9(R8)           
[115] PC: 0x004e0e7b | OpNum: 118        | H2P: X | Disasm: CF_BR                                        
[116] PC: 0x004e0d9f | OpNum: 119        | H2P: X | Disasm: ILD      r14(R13) <- r8(RSP) 1@7fffffffda33  
[117] PC: 0x004e0da5 | OpNum: 120        | H2P: X | Disasm: ILD      r78(TMP0) <- r8(RSP) 1@7fffffffda34 
[118] PC: 0x004e0da5 | OpNum: 121        | H2P: X | Disasm: LOGIC    r14(R13),r24(ZPS) <- r78(TMP0),r14(R13)
[119] PC: 0x004e0daa | OpNum: 122        | H2P: X | Disasm: LDA      r7(RDI) <- r13(R12)                 
[120] PC: 0x004e0daf | OpNum: 123        | H2P: X | Disasm: ILD      r6(RSI) <- r13(R12) 1@028b2ef4      
[121] PC: 0x004e0db4 | OpNum: 124        | H2P: X | Disasm: CF_CBR   r24(ZPS)                            
[122] PC: 0x004e0dba | OpNum: 125        | H2P: X | Disasm: MOV      r14(R13) <- r6(RSI)                 
